Name,Benefits,Consumption Methods,How to Eat
Lucuma,Rich in antioxidants and vitamins Supports skin and digestion,Raw Juice Used in desserts,Eat fresh or blend into smoothies
Miracle Fruit,Modifies taste perception Enhances sweet flavors,Raw Used in culinary experiments,Eat fresh to experience effect
Atemoya,Rich in fiber and vitamin C Supports digestion and immunity,Raw Juice Used in desserts,Eat fresh or blend into smoothies
Abiu,Supports immune health and skin Rich in antioxidants,Raw Juice Used in desserts,Eat fresh or blend into juice
Pulasan,Similar to rambutan Rich in vitamin C and antioxidants,Raw Juice Used in desserts,Eat fresh after peeling
Jaboticaba,Rich in antioxidants and fiber Supports immune and heart health,Raw Juice Used in jams,Eat fresh or blend into juice
Pomelo,Rich in vitamin C and fiber Supports digestion and immunity,Raw Juice Used in salads,Eat fresh or blend into juice
Bergamot,Supports digestion and mood Rich in antioxidants,Juice Used in tea and perfumery,Consume as tea or zest
Kaffir Lime,Supports digestion and skin health Rich in antioxidants,Juice Used in cooking,Consume as zest or juice
Finger Lime,Rich in vitamin C and antioxidants Supports immune health,Raw Used in desserts,Eat fresh or use as garnish
Calamansi,Rich in vitamin C Supports immunity and digestion,Raw Juice Used in cooking,Eat fresh or blend into juice
Sudachi,Supports digestion and immune health Rich in antioxidants,Juice Used in Japanese cuisine,Consume as juice
Yuzu,Rich in antioxidants and vitamin C Supports immune and skin health,Juice Used in cooking and beverages,Consume as zest or juice
Mandarin Orange,Rich in vitamin C and fiber Supports immune and digestive health,Raw Juice Used in desserts,Peel and eat fresh
Seville Orange,Rich in antioxidants Supports digestion and immune health,Raw Juice Used in marmalade,Consume as juice or zest
Ugly Fruit,Rich in vitamin C and antioxidants Supports immune health,Raw Juice Used in cooking,Eat fresh or blend into juice
Buddha's Hand,Used for fragrance and zest Supports mood and digestion,Raw Used in perfumes and desserts,Consume as zest
Ichang Papeda,Rich in vitamin C and antioxidants Supports digestion,Raw Juice Used in Asian cuisine,Consume as zest or juice
Aloe Vera,Treats burns aids digestion boosts immunity,Gel juice,Apply topically or consume as juice
Neem,Antibacterial antifungal purifies blood,Leaves oil paste,Consume leaves or apply oil
Tulsi (Holy Basil),Boosts immunity reduces stress aids digestion,Leaves tea extracts,Brew into tea or chew leaves
Ashwagandha,Reduces stress boosts energy improves memory,Powder capsules tea,Mix powder in milk or take as capsule
Turmeric,Anti-inflammatory antioxidant boosts immunity,Powder raw root supplements,Add to food milk or tea
Ginger,Relieves nausea aids digestion reduces inflammation,Fresh root powder tea,Chew raw brew in tea or use in cooking
Garlic,Lowers blood pressure boosts immunity antibacterial,Raw cloves supplements,Cook with food or consume raw
Peppermint,Aids digestion relieves headaches freshens breath,Leaves tea oil,Brew tea or chew leaves
Chamomile,Reduces stress promotes sleep aids digestion,Flowers tea extract,Brew tea or take extract
Echinacea,Boosts immunity fights infections reduces inflammation,Tea extract capsules,Brew tea or take capsules
Ginseng,Boosts energy improves cognitive function reduces stress,Root powder tea,Brew tea or take as supplement
Lavender,Reduces anxiety promotes sleep relieves headaches,Oil tea dried flowers,Use oil for aromatherapy or brew tea
Lemon Balm,Reduces stress improves sleep aids digestion,Leaves tea extract,Brew tea or take extract
Rosemary,Improves memory boosts circulation antioxidant,Leaves oil tea,Use in cooking brew tea or apply oil
Thyme,Antibacterial relieves cough boosts immunity,Leaves oil tea,Use in cooking brew tea or apply oil
Basil,Anti-inflammatory antioxidant aids digestion,Leaves tea extract,Use in cooking or brew tea
Fenugreek,Regulates blood sugar aids digestion boosts milk production,Seeds powder tea,Soak seeds use powder in food or brew tea
Sage,Improves memory soothes sore throat antioxidant,Leaves tea extract,Brew tea or use in cooking
Cinnamon,Regulates blood sugar anti-inflammatory antioxidant,Bark powder tea,Add to food milk or tea
Holy Basil,Reduces stress boosts immunity anti-inflammatory,Leaves tea extract,Brew tea or chew leaves
Licorice,Soothes sore throat aids digestion anti-inflammatory,Root tea extract,Brew tea or chew root
Dandelion,Detoxifies liver aids digestion rich in vitamins,Leaves root tea,Use leaves in salads or brew root tea
Marigold,Heals wounds anti-inflammatory antifungal,Flowers oil tea,Apply oil topically or brew tea
Yarrow,Stops bleeding reduces fever aids digestion,Leaves flowers tea,Brew tea or apply topically
Gotu Kola,Improves brain function heals wounds reduces anxiety,Leaves powder tea,Brew tea or take as supplement
Brahmi,Enhances memory reduces stress antioxidant,Leaves powder tea,Brew tea or take as supplement
Guduchi,Boosts immunity detoxifies body anti-inflammatory,Stem powder tea,Brew tea or take as supplement
Shatavari,Supports female reproductive health boosts immunity,Root powder tea,Mix powder in milk or take as supplement
Moringa,Rich in nutrients boosts energy antioxidant,Leaves powder tea,Add powder to food or brew tea
Noni,Boosts immunity reduces pain antioxidant,Fruit juice,Consume juice or eat fruit
Valerian,Promotes sleep reduces anxiety relieves stress,Root tea capsules,Brew tea or take capsules
St. John's Wort,Treats mild depression reduces anxiety promotes sleep,Flowers tea capsules,Brew tea or take capsules
Fennel,Aids digestion relieves bloating freshens breath,Seeds tea extract,Chew seeds or brew tea
Cardamom,Aids digestion freshens breath antioxidant,Pods powder tea,Use in cooking or brew tea
Clove,Relieves toothache antibacterial antioxidant,Buds oil powder,Use in cooking or apply oil
Coriander,Aids digestion reduces cholesterol antioxidant,Leaves seeds tea,Use in cooking or brew tea
Bay Leaf,Aids digestion anti-inflammatory antioxidant,Leaves tea,Use in cooking or brew tea
Hibiscus,Lowers blood pressure rich in vitamin C antioxidant,Flowers tea,Brew tea
Betel Leaf,Aids digestion freshens breath anti-inflammatory,Leaves,Chew leaves or use in cooking
Curry Leaf,Aids digestion rich in iron antioxidant,Leaves,Use in cooking
Guggul,Reduces cholesterol anti-inflammatory aids weight loss,Resin powder capsules,Take as supplement
Indian Gooseberry (Amla),Rich in vitamin C boosts immunity antioxidant,Fruit powder juice,Eat raw consume juice or take powder
Bitter Gourd,Regulates blood sugar aids digestion detoxifies body,Fruit juice,Cook or consume juice
Bael,Aids digestion treats diarrhea rich in nutrients,Fruit juice,Consume juice or eat fruit
Arnica,Reduces pain heals bruises anti-inflammatory,Flowers oil,Apply oil topically
Catnip,Promotes sleep reduces anxiety aids digestion,Leaves tea,Brew tea
Saffron,Improves mood antioxidant anti-inflammatory,Stigmas tea,Use in cooking or brew tea
Spearmint,Aids digestion freshens breath reduces nausea,Leaves tea,Brew tea or chew leaves
Acorus Calamus (Sweet Flag),Improves memory relieves stress aids digestion,Root powder tea,Brew tea or take as supplement
Kava,Reduces anxiety promotes relaxation relieves stress,Root tea extract,Brew tea or take extract
Passionflower,Promotes sleep reduces anxiety relieves stress,Flowers tea extract,Brew tea or take extract
Evening Primrose,Supports hormonal balance anti-inflammatory improves skin health,Oil capsules,Take as supplement
Elderberry,Boosts immunity fights colds antioxidant,Berries syrup tea,Consume syrup or brew tea
Milk Thistle,Detoxifies liver antioxidant supports liver health,Seeds tea capsules,Brew tea or take capsules
Chia Seeds,Rich in omega-3 aids digestion boosts energy,Seeds,Add to smoothies yogurt or water
Dong Quai,Supports female reproductive health improves circulation,Root tea capsules,Brew tea or take capsules
Black Cohosh,Relieves menopausal symptoms reduces inflammation,Root tea capsules,Brew tea or take capsules
Devil’s Claw,Reduces pain anti-inflammatory aids digestion,Root tea capsules,Brew tea or take capsules
Hops,Promotes sleep reduces anxiety relieves stress,Flowers tea extract,Brew tea or take extract
Goldenseal,Boosts immunity antibacterial anti-inflammatory,Root tea capsules,Brew tea or take capsules
Myrrh,Heals wounds anti-inflammatory antibacterial,Resin oil,Apply oil topically
Frankincense,Reduces inflammation promotes relaxation antioxidant,Resin oil,Use oil for aromatherapy
Wild Yam,Supports hormonal balance anti-inflammatory,Root tea capsules,Brew tea or take capsules
Agrimony,Aids digestion heals wounds anti-inflammatory,Leaves tea,Brew tea
Angelica,Aids digestion reduces inflammation supports respiratory health,Root tea extract,Brew tea or take extract
Blue Vervain,Reduces stress promotes relaxation aids digestion,Leaves tea,Brew tea
Burdock,Detoxifies blood improves skin health antioxidant,Root tea,Brew tea
Calamus,Improves memory relieves stress aids digestion,Root tea,Brew tea
Castor Bean,Laxative anti-inflammatory promotes wound healing,Oil,Apply oil topically
Celery,Reduces blood pressure aids digestion anti-inflammatory,Stalks seeds juice,Eat raw use seeds in cooking or consume juice
Celandine,Detoxifies liver anti-inflammatory aids digestion,Leaves tea,Brew tea
Comfrey,Heals wounds reduces inflammation promotes bone health,Leaves tea,Brew tea or apply topically
Costus,Anti-inflammatory aids digestion supports respiratory health,Root tea,Brew tea
Damiana,Aphrodisiac reduces anxiety aids digestion,Leaves tea,Brew tea
Dill,Aids digestion freshens breath antioxidant,Seeds leaves tea,Use in cooking or brew tea
Elecampane,Supports respiratory health anti-inflammatory antibacterial,Root tea,Brew tea
Eucalyptus,Relieves respiratory issues antibacterial anti-inflammatory,Leaves oil,Use oil for aromatherapy or brew tea
Eyebright,Improves eye health reduces inflammation supports respiratory health,Leaves tea,Brew tea
False Unicorn,Supports female reproductive health aids digestion,Root tea,Brew tea
Feverfew,Reduces migraines anti-inflammatory antioxidant,Leaves tea,Brew tea
Galangal,Aids digestion anti-inflammatory antibacterial,Root tea,Use in cooking or brew tea
Ginkgo Biloba,Improves memory boosts circulation antioxidant,Leaves tea capsules,Brew tea or take capsules
Green Tea,Boosts metabolism antioxidant improves brain function,Leaves tea,Brew tea
Henna,Conditions hair antibacterial antifungal,Leaves paste,Apply paste topically
Horehound,Relieves cough supports respiratory health aids digestion,Leaves tea,Brew tea
Horsetail,Strengthens bones improves skin health diuretic,Stems tea,Brew tea
Jasmine,Reduces stress promotes relaxation antioxidant,Flowers tea,Brew tea
Juniper,Detoxifies body diuretic anti-inflammatory,Berries tea,Brew tea
Kudzu,Reduces alcohol cravings anti-inflammatory supports heart health,Root tea,Brew tea
Lady’s Mantle,Supports female reproductive health astringent,Leaves tea,Brew tea
Lemongrass,Aids digestion reduces fever antibacterial,Stalks tea,Brew tea
Licorice Root,Soothes sore throat aids digestion anti-inflammatory,Root tea,Brew tea
Lotus,Promotes relaxation antioxidant supports respiratory health,Flowers seeds tea,Brew tea
Maca,Boosts energy supports hormonal balance aphrodisiac,Root powder,Add powder to smoothies or food
Marjoram,Aids digestion reduces stress antioxidant,Leaves tea,Use in cooking or brew tea
Meadowsweet,Relieves pain anti-inflammatory aids digestion,Flowers tea,Brew tea
Motherwort,Supports heart health reduces anxiety supports female reproductive health,Leaves tea,Brew tea
Mugwort,Promotes digestion relieves stress supports liver health,Leaves tea,Brew tea
Nutmeg,Aids digestion improves sleep antioxidant,Seed powder,Use in cooking
Oat Straw,Reduces stress supports nervous system rich in minerals,Stems tea,Brew tea
Oregano,Antibacterial antioxidant aids digestion,Leaves oil,Use in cooking or apply oil
Parsley,Rich in vitamins aids digestion freshens breath,Leaves tea,Use in cooking or brew tea
Pennyroyal,Repels insects aids digestion relieves headaches,Leaves tea,Brew tea
Periwinkle,Improves brain function supports memory antioxidant,Leaves tea,Brew tea
Plantain,Heals wounds anti-inflammatory supports respiratory health,Leaves tea,Brew tea or apply topically
Poke Root,Detoxifies body anti-inflammatory supports lymphatic system,Root tea,Brew tea
Prickly Ash,Improves circulation relieves pain antibacterial,Bark tea,Brew tea
Raspberry Leaf,Supports female reproductive health aids digestion,Leaves tea,Brew tea
Reishi Mushroom,Boosts immunity reduces stress antioxidant,Mushroom tea capsules,Brew tea or take capsules
Rhubarb,Aids digestion rich in vitamins antioxidant,Stalks tea,Cook or brew tea
Rue,Relieves pain anti-inflammatory supports menstrual health,Leaves tea,Brew tea
Sarsaparilla,Detoxifies body anti-inflammatory aphrodisiac,Root tea,Brew tea
Saw Palmetto,Supports prostate health reduces inflammation,Berries tea capsules,Brew tea or take capsules
Schisandra,Boosts energy supports liver health adaptogen,Berries tea,Brew tea
Self-Heal,Heals wounds anti-inflammatory supports immune health,Leaves tea,Brew tea or apply topically
Shepherd’s Purse,Stops bleeding supports uterine health astringent,Leaves tea,Brew tea
Skullcap,Reduces anxiety promotes relaxation supports nervous system,Leaves tea,Brew tea
Slippery Elm,Soothes digestive tract anti-inflammatory supports respiratory health,Bark tea,Brew tea
Solomon’s Seal,Heals wounds supports joint health anti-inflammatory,Root tea,Brew tea
Spikenard,Promotes relaxation anti-inflammatory supports skin health,Root tea,Brew tea
Wheat,"Rich in fiber, helps in digestion, good for heart health, provides energy, supports weight management","Whole wheat grains, flour, wheat germ, wheat bran","During a pandemic: Boil whole wheat grains to make porridge, roast and grind them for homemade flour, make wheat gruel (kanji) with water and salt, sprout wheat grains and eat them raw or in salads. Normal times: Use whole wheat flour to make chapatis, bread, and pasta, eat whole wheat cereals for breakfast, include wheat bran in smoothies or yogurt for extra fiber."
Rice,"Good source of energy, easy to digest, gluten-free, supports brain function, helps in weight management","Whole rice grains, rice flour, rice bran","During a pandemic: Cook whole rice grains as porridge or boiled rice, make simple rice gruel (kanji) with water and salt, grind dry rice to make homemade flour for simple flatbreads. Normal times: Cook rice for meals, make dishes like biryani or fried rice, use rice flour for baking or thickening soups."
Maize,"Rich in antioxidants, supports eye health, provides dietary fiber, helps in digestion, good for energy","Whole corn kernels, cornmeal, corn flour","During a pandemic: Boil or roast whole corn kernels, grind dried corn to make homemade cornmeal for porridge or flatbreads. Normal times: Eat boiled or grilled corn, use cornmeal for making rotis, tortillas, or cornbread, use corn flour for thickening soups or frying."
Barley,"High in fiber, good for digestion, supports heart health, helps control blood sugar, provides essential vitamins","Whole barley grains, barley flour, barley water","During a pandemic: Boil whole barley grains to make porridge or soup, grind dried barley for homemade flour, drink barley water for hydration. Normal times: Use barley in soups, stews, and salads, make barley-based drinks, use barley flour in baking."
Oats,"Rich in fiber, supports heart health, helps in weight management, good for digestion, stabilizes blood sugar","Whole oat grains, oat flour, oat bran","During a pandemic: Make oatmeal using boiled oats, grind oats into flour for baking, soak raw oats overnight for easy digestion. Normal times: Eat oatmeal for breakfast, use oat flour in baking, blend oats into smoothies for added fiber."
Rye,"Good for digestion, supports heart health, high in fiber, helps regulate blood sugar, provides long-lasting energy","Whole rye grains, rye flour, rye bran","During a pandemic: Cook rye grains as porridge, grind rye into flour for homemade bread, eat soaked rye grains to soften. Normal times: Use rye flour to make bread, crackers, and pancakes, include rye grains in salads and soups."
Sorghum,"Gluten-free, good for digestion, high in antioxidants, helps in bone health, supports heart health","Whole sorghum grains, sorghum flour, sorghum syrup","During a pandemic: Boil whole sorghum grains for porridge, grind sorghum to make homemade flour, eat popped sorghum as a snack. Normal times: Use sorghum flour for baking, cook sorghum grains as a rice substitute, make sorghum syrup for natural sweetening."
Millet,"Rich in protein and fiber, gluten-free, good for digestion, supports heart health, helps in weight management","Whole millet grains, millet flour","During a pandemic: Cook whole millet grains as porridge or simple boiled grains, grind dry millet to make flour for homemade flatbreads. Normal times: Use millet flour for rotis or baking, cook millets as a substitute for rice, make millet-based breakfast cereals."
Quinoa,"High in protein, gluten-free, contains all essential amino acids, supports metabolism, rich in antioxidants","Whole quinoa grains, quinoa flour","During a pandemic: Boil quinoa grains for porridge or salads, grind quinoa into flour for homemade baking. Normal times: Cook quinoa as a rice alternative, mix in salads, use quinoa flour in baking."
Buckwheat,"Gluten-free, high in protein and fiber, supports digestion, rich in antioxidants, helps in heart health","Whole buckwheat grains, buckwheat flour","During a pandemic: Boil buckwheat grains for porridge, grind into flour for flatbreads or pancakes. Normal times: Use buckwheat in soba noodles, bake with buckwheat flour, eat roasted buckwheat groats in cereals."
Teff,"Rich in iron, supports bone health, gluten-free, helps in digestion, provides sustained energy","Whole teff grains, teff flour","During a pandemic: Cook teff grains as porridge, grind into flour for making flatbreads. Normal times: Use teff flour in baking, make traditional injera bread, mix teff into soups or stews."
Spelt,"High in fiber, supports heart health, good for digestion, rich in essential nutrients, provides energy","Whole spelt grains, spelt flour","During a pandemic: Cook spelt grains for porridge, grind spelt into flour for homemade bread. Normal times: Use spelt flour for baking, eat cooked spelt in grain bowls, include in soups and salads."
Fonio,"Gluten-free, rich in amino acids, easy to digest, supports energy levels, high in fiber","Whole fonio grains, fonio flour","During a pandemic: Cook fonio grains as porridge, grind fonio for flour-based dishes. Normal times: Use fonio as a rice substitute, bake with fonio flour, mix into soups or stews."
Wild Rice,"Rich in protein, supports heart health, good for digestion, high in antioxidants, provides energy","Whole wild rice grains","During a pandemic: Cook wild rice as porridge, mix with other grains for variety. Normal times: Use wild rice in grain bowls, salads, and stuffing, cook as a side dish."
Einkorn,"Ancient grain, rich in antioxidants, high in protein, supports immune health, good for digestion","Whole einkorn grains, einkorn flour","During a pandemic: Boil einkorn grains for porridge, grind into flour for homemade bread. Normal times: Use einkorn flour for baking, eat cooked einkorn in salads, mix in soups."
Emmer,"Good for digestion, rich in fiber, high in protein, supports heart health, provides sustained energy","Whole emmer grains, emmer flour","During a pandemic: Cook emmer grains as porridge, grind into flour for flatbreads. Normal times: Use emmer flour in baking, mix cooked emmer in salads, add to soups."
Triticale,"High in fiber and protein, good for digestion, supports heart health, rich in nutrients","Whole triticale grains, triticale flour","During a pandemic: Boil triticale grains for porridge, grind into flour for bread-making. Normal times: Use triticale flour in baking, eat cooked grains in grain bowls, include in soups."
